id;imie;nazwisko;Obecny klub;Urodzony w;Data urodzenia;Pozycja;Wzrost;Noga;Waga
/zawodnik-a-boruc,724;Artur;Boruc;Legia Warszawa;Siedlce;1980-02-20;Bramkarz;193;Prawa;87
/zawodnik-w-muzyk,491228;Wojciech;Muzyk;Legia Warszawa;Suwałki;1998-11-07;Bramkarz;195;Brak;83
/zawodnik-r-cierzniak,12549;Radosław;Cierzniak;Legia Warszawa;Szamocin;1983-04-24;Bramkarz;183;Prawa;81
Artur Boruc;;;;;;;;;
/zawodnik-c-miszta,509793;Cezary;Miszta;Legia Warszawa;Łuków;2001-10-30;Bramkarz;192;Brak;
/zawodnik-a-jedrzejczyk,12609;Artur;Jędrzejczyk;Legia Warszawa;Dębica;1987-11-04;Obrońca;189;Prawa;78
/zawodnik-w-remy,66123;William;Rémy;Legia Warszawa;Courbevoie;1991-04-04;Obrońca;184;Prawa;79
/zawodnik-f-mladenovic,161525;Filip;Mladenović;Legia Warszawa;Čačak;1991-08-15;Obrońca;180;Lewa;65
/zawodnik-i-lewczuk,42500;Igor;Lewczuk;Legia Warszawa;Białystok;1985-05-30;Obrońca;189;Prawa;88
/zawodnik-m-holownia,348385;Mateusz;Hołownia;Legia Warszawa;Biała Podlaska;1998-05-06;Obrońca;184;Lewa;70
/zawodnik-m-wieteska,273914;Mateusz;Wieteska;Legia Warszawa;Warszawa;1997-02-11;Obrońca;187;Prawa;77
/zawodnik-j-juranovic,396624;Josip;Juranović;Legia Warszawa;Zagreb;1995-08-16;Obrońca;173;Prawa;69
/zawodnik-m-ve%C5%A1ovic,82988;Marko;Vešović;Legia Warszawa;Podgorica;1991-08-28;Obrońca;177;Prawa;70
/zawodnik-inaki-astiz,18472;Iñaki;Astiz;Legia Warszawa;Pampeluna;1983-11-05;Obrońca;184;Prawa;77
/zawodnik-a-shabanov,256373;Artem;Shabanov;Legia Warszawa;Kyiv;1992-03-07;Obrońca;189;Lewa;79
Josip Juranovic;;;;;;;;;
/zawodnik-b-slisz,410049;Bartosz;Slisz;Legia Warszawa;Rybnik;1999-03-29;Pomocnik;179;Brak;70
/zawodnik-luquinhas,452380;Lucas;Lima;Legia Warszawa;Brasília;1996-09-28;Pomocnik;169;Prawa;60
/zawodnik-b-kapustka,302731;Bartosz;Kapustka;Legia Warszawa;Tarnów;1996-12-23;Pomocnik;179;Prawa;62
/zawodnik-d-antolic,83991;Domagoj;Antolić;Legia Warszawa;Zagreb;1990-06-30;Pomocnik;180;Prawa;73
/zawodnik-andre-martins,138473;André;Renato;Legia Warszawa;Santa Maria da Feira;1990-01-21;Pomocnik;169;Prawa;63
