ID;Kolejka;Data;Zespol1-Nazwa;Zespol1-Bramki;Zespol2-Nazwa;Zespol2-Bramki;Zespol1-Posiadanie piłki;Zespol1-Strzały;Zespol1-Strzały celne;Zespol1-Strzały niecelne;Zespol1-Strzały zablokowane;Zespol1-Ataki;Zespol1-Groźne ataki;Zespol1-Kartki;Zespol1-Faule;Zespol1-Rzuty wolne;Zespol1-Rzuty rożne;Zespol1-Spalone;Zespol2-Posiadanie piłki;Zespol2-Strzały;Zespol2-Strzały celne;Zespol2-Strzały niecelne;Zespol2-Strzały zablokowane;Zespol2-Ataki;Zespol2-Groźne ataki;Zespol2-Kartki;Zespol2-Faule;Zespol2-Rzuty wolne;Zespol2-Rzuty rożne;Zespol2-Spalone
0;30;2021-05-16 17:30:00;Jagiellonia Białystok;2;Lechia Gdańsk;1;48;7;5;2;0;101;54;5;11;15;6;1;52;12;7;5;0;120;81;4;10;12;8;6
1;30;2021-05-16 17:30:00;Lech Poznań;1;Górnik Zabrze;1;55;15;7;3;5;91;44;2;12;8;10;1;45;16;7;5;4;94;46;1;7;13;6;1
2;30;2021-05-16 17:30:00;Legia Warszawa;1;Podbeskidzie;0;63;17;5;12;0;109;64;0;12;16;4;0;37;15;3;12;0;86;60;0;15;12;7;1
3;30;2021-05-16 17:30:00;Piast Gliwice;2;Wisła Kraków;3;55;20;7;13;0;104;61;1;15;25;5;2;45;9;7;2;0;48;27;3;22;17;2;3
4;30;2021-05-16 17:30:00;Pogoń Szczecin;1;Raków Częstochowa;3;62;15;3;12;0;106;65;0;12;19;6;1;38;9;5;4;0;72;38;2;17;13;1;2
5;30;2021-05-16 17:30:00;Śląsk Wrocław;1;Stal Mielec;1;52;11;4;6;1;97;53;0;7;14;2;1;48;11;6;5;0;79;50;4;12;8;9;2
6;30;2021-05-16 17:30:00;Wisła Płock;4;Zagłębie Lubin;0;53;14;10;4;0;70;47;3;10;19;4;2;47;6;2;3;1;66;24;2;18;12;4;1
7;30;2021-05-16 17:30:00;Cracovia;0;Warta Poznań;1;45;6;0;6;0;63;36;1;16;14;5;3;55;10;2;8;0;91;63;2;12;19;6;2
8;29;2021-05-10 18:00:00;Raków Częstochowa;1;Piast Gliwice;0;46;9;6;2;1;77;44;1;16;16;4;2;54;12;1;9;2;110;53;2;15;18;2;1
9;29;2021-05-09 17:30:00;Stal Mielec;0;Legia Warszawa;0;40;9;5;4;0;54;31;3;11;19;2;0;60;11;4;7;0;109;45;3;15;11;4;4
10;29;2021-05-09 15:00:00;Warta Poznań;2;Śląsk Wrocław;3;44;9;3;6;0;82;52;1;15;16;5;1;56;14;7;7;0;97;71;1;14;16;11;2
11;29;2021-05-08 20:00:00;Wisła Kraków;1;Lech Poznań;2;34;6;2;4;0;82;52;1;18;18;2;0;66;17;6;11;0;125;93;4;15;18;8;3
12;29;2021-05-08 17:30:00;Lechia Gdańsk;1;Cracovia;1;61;16;3;13;0;122;82;4;12;11;9;1;39;9;2;7;0;77;46;2;8;13;2;3
13;29;2021-05-08 15:00:00;Podbeskidzie;1;Wisła Płock;1;52;9;2;3;4;93;40;3;18;18;4;1;48;9;2;5;2;94;52;2;16;19;5;2
14;29;2021-05-07 20:30:00;Zagłębie Lubin;1;Pogoń Szczecin;1;54;10;1;5;4;93;56;4;8;13;5;0;46;10;5;2;3;85;65;2;11;8;5;2
15;29;2021-05-07 18:00:00;Górnik Zabrze;3;Jagiellonia Białystok;1;55;17;6;7;4;123;97;2;5;9;8;0;45;11;3;5;3;90;52;1;9;5;3;0
16;28;2021-05-03 17:30:00;Cracovia;1;Górnik Zabrze;0;47;11;3;8;0;89;44;4;19;15;1;1;53;15;3;12;0;94;56;7;15;20;6;0
17;28;2021-05-03 15:00:00;Piast Gliwice;2;Podbeskidzie;0;49;11;5;2;4;96;43;0;16;15;4;3;51;13;4;3;6;108;62;1;15;19;9;0
18;28;2021-05-01 20:00:00;Lech Poznań;1;Stal Mielec;2;66;21;4;9;8;133;88;2;18;7;3;3;34;4;4;0;0;62;31;2;7;21;2;0
19;28;2021-05-01 17:30:00;Pogoń Szczecin;1;Warta Poznań;1;74;9;2;7;0;80;63;0;16;20;5;1;26;6;2;4;0;37;19;0;17;17;2;3
20;28;2021-05-01 15:00:00;Legia Warszawa;0;Wisła Kraków;0;63;5;2;3;0;82;44;1;16;16;7;1;37;8;1;7;0;42;33;3;14;17;4;2
21;28;2021-04-30 20:30:00;Śląsk Wrocław;0;Zagłębie Lubin;0;44;15;1;7;7;97;57;0;15;17;3;1;56;8;1;3;4;116;61;3;14;16;7;3
22;28;2021-04-30 18:00:00;Wisła Płock;1;Lechia Gdańsk;3;60;19;10;4;5;98;90;2;12;21;9;2;40;8;4;3;1;85;45;2;19;14;9;2
23;28;2021-04-28 19:00:00;Jagiellonia Białystok;0;Raków Częstochowa;0;48;9;5;2;2;96;43;1;12;13;4;0;52;8;4;3;1;97;42;3;10;12;7;3
24;27;2021-04-25 17:30:00;Lechia Gdańsk;0;Legia Warszawa;1;44;6;0;5;1;79;42;3;16;14;4;1;56;15;4;8;3;92;56;2;13;17;9;1
25;27;2021-04-25 15:00:00;Stal Mielec;1;Pogoń Szczecin;0;37;7;3;2;2;63;47;3;13;15;4;1;63;24;4;7;13;111;100;1;11;14;11;4
26;27;2021-04-25 12:30:00;Warta Poznań;2;Jagiellonia Białystok;0;53;13;5;3;5;95;72;0;9;20;8;1;47;10;1;5;4;75;46;2;20;10;6;0
27;27;2021-04-24 20:00:00;Wisła Kraków;0;Cracovia;0;63;11;2;9;0;69;48;3;16;14;10;4;37;10;1;9;0;53;31;2;13;20;3;1
28;27;2021-04-24 17:30:00;Zagłębie Lubin;2;Piast Gliwice;2;44;7;3;1;3;95;60;1;11;10;2;3;56;16;6;6;4;107;77;1;8;14;8;2
29;27;2021-04-24 15:00:00;Górnik Zabrze;0;Wisła Płock;2;57;13;4;6;3;116;73;3;11;22;5;4;43;9;5;2;2;84;55;4;22;15;1;0
30;27;2021-04-23 20:30:00;Podbeskidzie;1;Lech Poznań;0;39;8;3;4;1;75;65;2;14;15;5;1;61;8;2;3;3;94;65;4;13;15;4;2
31;27;2021-04-23 18:00:00;Raków Częstochowa;2;Śląsk Wrocław;0;45;14;5;5;4;78;44;2;13;24;10;0;55;7;4;2;1;102;35;3;24;13;1;0
32;26;2021-04-21 20:30:00;Cracovia;1;Wisła Płock;0;40;10;4;1;5;80;61;1;11;19;3;4;60;4;1;2;1;93;80;5;19;15;5;0
33;26;2021-04-21 20:30:00;Piast Gliwice;0;Legia Warszawa;1;43;5;0;5;0;74;37;2;10;14;1;2;57;27;5;22;0;112;64;1;13;12;10;1
34;26;2021-04-21 18:00:00;Jagiellonia Białystok;3;Stal Mielec;3;48;17;8;4;5;106;67;1;13;11;5;4;52;17;9;5;3;100;54;1;8;17;6;3
35;26;2021-04-21 18:00:00;Zagłębie Lubin;4;Wisła Kraków;1;54;13;8;5;0;96;62;2;11;22;1;2;46;13;4;4;5;93;47;4;21;13;8;1
