ID;Czas;Kto;Co;Info
0;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
0;45;/zawodnik-m-ishak,126521;Gol;brak
0;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
0;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
0;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
0;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
0;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
0;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
0;87;/zawodnik-s-balic,47361;Gol;D. Bohar
0;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
0;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
0;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
0;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
1;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
1;45;/zawodnik-m-ishak,126521;Gol;brak
1;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
1;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
1;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
1;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
1;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
1;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
1;87;/zawodnik-s-balic,47361;Gol;D. Bohar
1;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
1;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
1;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
1;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
2;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
2;45;/zawodnik-m-ishak,126521;Gol;brak
2;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
2;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
2;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
2;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
2;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
2;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
2;87;/zawodnik-s-balic,47361;Gol;D. Bohar
2;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
2;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
2;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
2;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
3;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
3;45;/zawodnik-m-ishak,126521;Gol;brak
3;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
3;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
3;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
3;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
3;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
3;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
3;87;/zawodnik-s-balic,47361;Gol;D. Bohar
3;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
3;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
3;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
3;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
4;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
4;45;/zawodnik-m-ishak,126521;Gol;brak
4;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
4;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
4;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
4;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
4;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
4;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
4;87;/zawodnik-s-balic,47361;Gol;D. Bohar
4;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
4;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
4;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
4;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
5;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
5;45;/zawodnik-m-ishak,126521;Gol;brak
5;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
5;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
5;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
5;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
5;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
5;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
5;87;/zawodnik-s-balic,47361;Gol;D. Bohar
5;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
5;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
5;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
5;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
6;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
6;45;/zawodnik-m-ishak,126521;Gol;brak
6;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
6;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
6;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
6;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
6;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
6;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
6;87;/zawodnik-s-balic,47361;Gol;D. Bohar
6;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
6;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
6;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
6;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
7;35;/zawodnik-l-%C5%A0atka,213566;Zolta kartka;brak
7;45;/zawodnik-m-ishak,126521;Gol;brak
7;67;/zawodnik-r-sirk,251495;Zmiana;/zawodnik-s-mraz,315837
7;67;/zawodnik-l-poreba,571155;Zmiana;/zawodnik-j-zubrowski,303760
7;68;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-k-jozwiak,387697
7;73;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-dani-ramirez,262217
7;78;/zawodnik-p-szysz,443131;Zmiana;/zawodnik-f-starzynski,204952
7;82;/zawodnik-l-guldan,23240;Gol;D. Bohar
7;87;/zawodnik-s-balic,47361;Gol;D. Bohar
7;89;/zawodnik-r-sirk,251495;Zolta kartka;brak
7;89;/zawodnik-%C4%90-crnomarkovic,336895;Zolta kartka;brak
7;90;/zawodnik-f-szymczak,574716;Zmiana;/zawodnik-j-kaminski,574689
7;90;/zawodnik-l-%C5%A0imic,382601;Zmiana;/zawodnik-d-bohar,143401
8;32;/zawodnik-v-gutkovskis,196260;Gol;brak
8;43;/zawodnik-gerard-badia,161843;Zolta kartka;brak
8;46;/zawodnik-m-wdowiak,302733;Zmiana;/zawodnik-m-cebula,266315
8;46;/zawodnik-m-zyro,108398;Zmiana;/zawodnik-gerard-badia,161843
8;63;/zawodnik-p-schwarz,204948;Zmiana;/zawodnik-m-poletanovic,217502
8;65;T. Alves;Zmiana;/zawodnik-t-jodlowiec,12473
8;65;/zawodnik-a-pyrka,557409;Zmiana;/zawodnik-d-steczyk,453504
8;67;/zawodnik-j-arak,353419;Zmiana;/zawodnik-v-gutkovskis,196260
8;79;/zawodnik-p-lipski,302569;Zmiana;/zawodnik-p-sokolowski,334771
8;81;/zawodnik-d-szelagowski,610765;Zmiana;/zawodnik-ivi-lopez,285955
8;82;/zawodnik-m-zyro,108398;Zolta kartka;brak
8;83;/zawodnik-m-wdowiak,302733;Zolta kartka;brak
9;9;/zawodnik-m-holownia,348385;Zolta kartka;brak
9;24;J. de Amo;Zolta kartka;brak
9;55;/zawodnik-k-kostorz,485378;Zmiana;V. Gvilia
9;60;/zawodnik-a-kolev,170992;Zmiana;/zawodnik-l-zjawinski,509897
9;76;/zawodnik-m--mak,137305;Zmiana;/zawodnik-p-forsell,31766
9;78;/zawodnik-f-mladenovic,161525;Zolta kartka;brak
9;81;/zawodnik-e-mu%C3%A7i,533365;Zmiana;Bartosz Kapustka
9;82;/zawodnik-a-prokic,151960;Zmiana;/zawodnik-m-domanski,303755
9;82;/zawodnik-b-chorbadzhiyski,259265;Zmiana;/zawodnik-m-matras,139230
9;83;/zawodnik-a-kolev,170992;Zolta kartka;brak
9;83;/zawodnik-g-tomasiewicz,273876;Zolta kartka;brak
9;83;/zawodnik-b-slisz,410049;Zolta kartka;brak
9;87;/zawodnik-m-cholewiak,197238;Zmiana;/zawodnik-rafael-lopes,152884
10;40;/zawodnik-m-nawrocki,517198;Gol;brak
10;49;E. Exposito;Gol;brak
10;52;/zawodnik-israel-puerto,154763;Zolta kartka;brak
10;59;E. Exposito;Gol;brak
10;67;/zawodnik-m-czyzycki,447020;Zmiana;/zawodnik-m-zurawski,477416
10;72;/zawodnik-m-jakobowski,236531;Zolta kartka;brak
10;77;/zawodnik-m-zylla,460141;Zmiana;/zawodnik-w-sobota,86389
10;78;M. Rodriguez;Zmiana;/zawodnik-m-jakobowski,236531
10;78;/zawodnik-b-burman,574692;Zmiana;/zawodnik-j-grzesik,304289
10;82;/zawodnik-r-janicki,419880;Zmiana;/zawodnik-l-tralka,12870
10;82;/zawodnik-r-pich,83962;Gol;brak
10;89;/zawodnik-f-piasecki,310463;Zmiana;E. Exposito
10;90;M. Rodriguez;Gol;brak
10;90;/zawodnik-s-bergier,525432;Zmiana;/zawodnik-r-pich,83962
11;9;/zawodnik-a-czerwinski,263703;Zolta kartka;brak
11;12;/zawodnik-m-ishak,126521;Gol;brak
11;28;/zawodnik-a-johannsson,78577;Zmiana;/zawodnik-m-ishak,126521
11;45;/zawodnik-n-kvekveskiri,89680;Zolta kartka;brak
11;50;/zawodnik-f-brown-forbes,149976;Zolta kartka;brak
11;60;/zawodnik-pedro-tiba,207012;Zmiana;/zawodnik-dani-ramirez,262217
11;61;/zawodnik-m-skoras,468250;Zmiana;/zawodnik-a-czerwinski,263703
11;61;/zawodnik-pedro-tiba,207012;Gol;brak
11;72;/zawodnik-j-blaszczykowski,16524;Zmiana;/zawodnik-f-brown-forbes,149976
11;78;/zawodnik-j-blaszczykowski,16524;Gol;brak
11;80;/zawodnik-r-boguski,12781;Zmiana;/zawodnik-%C5%BD-medved,378681
11;80;/zawodnik-j-karlstrom,228893;Zolta kartka;brak
11;87;/zawodnik-a-buksa,595792;Zmiana;/zawodnik-y-yeboah,405512
11;87;/zawodnik-d-szot,595791;Zmiana;K. Gruszkowski
11;90;/zawodnik-f-marchwinski,574687;Zmiana;/zawodnik-n-kvekveskiri,89680
11;90;N. Pacławski;Zmiana;/zawodnik-j-s%C3%BDkora,191099
11;90;/zawodnik-a-milic,156563;Zolta kartka;brak
12;25;/zawodnik-c-r%C3%A2p%C4%83,69393;Gol;brak
12;27;/zawodnik-j-kubicki,344145;Zolta kartka;brak
12;28;/zawodnik-conrado,485346;Zolta kartka;brak
12;28;/zawodnik-k-saief,172140;Zolta kartka;brak
12;44;/zawodnik-m-sip%C4%BEak,318999;Zolta kartka;brak
12;46;/zawodnik-r-pietrzak,103342;Zmiana;/zawodnik-k-saief,172140
12;46;/zawodnik-thiago,532494;Zmiana;/zawodnik-m-sip%C4%BEak,318999
12;61;/zawodnik-m-dimun,353407;Zmiana;D. Sadikovic
12;64;/zawodnik-m-zukowski,517233;Zmiana;/zawodnik-conrado,485346
12;65;/zawodnik-omran-haydary,494055;Zmiana;/zawodnik-j-ceesay,446544
